상호명,상권업종대분류명,상권업종중분류명,상권업종소분류명,표준산업분류명,건물명,소재지지번주소,소재지도로명주소,소재지우편번호,WGS84위도,WGS84경도
CU,소매,종합소매점,편의점,체인화 편의점,,경기도 광명시 철산동 210-1,경기도 광명시 시청로 41,14216,37.4803774977,126.8640914601
CU,소매,종합소매점,편의점,체인화 편의점,,경기도 광명시 일직동 503-9,경기도 광명시 일직로99번길 16,14354,37.4215262151,126.8915727389
CU,소매,종합소매점,편의점,체인화 편의점,우주빌딩,경기도 광명시 광명동 143-1,경기도 광명시 오리로984번길 25,14202,37.4816817648,126.8548746332
CU,소매,종합소매점,편의점,체인화 편의점,홍우빌딩,경기도 광명시 하안동 301-4,경기도 광명시 범안로 992,14303,37.4590986589,126.8744614004
CU,소매,종합소매점,편의점,체인화 편의점,,경기도 광명시 광명동 9-44,경기도 광명시 광복로 39,14205,37.488431442,126.8632850675
CU,소매,종합소매점,편의점,체인화 편의점,로얄프라자,경기도 광명시 광명동 352-14,경기도 광명시 광화로 22,14294,37.4734840769,126.8488992588
CU,소매,종합소매점,편의점,체인화 편의점,하안12단지고층주공아파트,경기도 광명시 하안동 110,경기도 광명시 하안로 284,14306,37.4616854471,126.8839515142
CU,소매,종합소매점,편의점,체인화 편의점,,경기도 광명시 일직동 505-20,경기도 광명시 일직로99번안길 16,14354,37.4209395044,126.8904552147
CU,소매,종합소매점,편의점,체인화 편의점,,경기도 광명시 광명동 158-558,경기도 광명시 오리로963번길 4,14262,37.4784301397,126.8556498232
CU,소매,종합소매점,편의점,체인화 편의점,,경기도 광명시 광명동 20-1,경기도 광명시 사성로 32,14210,37.4858787498,126.8608701915
CU,소매,종합소매점,편의점,체인화 편의점,오동빌스,경기도 광명시 소하동 1092,경기도 광명시 영당안로 7,14333,37.4331343187,126.8767881151
CU,소매,종합소매점,편의점,체인화 편의점,,경기도 광명시 광명동 56-1,경기도 광명시 광명로 957,14200,37.4842063208,126.8562942609
CU,소매,종합소매점,편의점,체인화 편의점,,경기도 광명시 철산동 472-14,경기도 광명시 도덕공원로 70,14250,37.4748186567,126.8643504501
CU,소매,종합소매점,편의점,체인화 편의점,,경기도 광명시 하안동 338-1,경기도 광명시 범안로 925,14260,37.4559107299,126.8678211866
CU,소매,종합소매점,편의점,체인화 편의점,대명빌딩,경기도 광명시 광명동 741-5,경기도 광명시 광명로812번길 34,14281,37.4686569297,126.8505934665
CU,소매,종합소매점,편의점,체인화 편의점,이림휴먼빌리지,경기도 광명시 광명동 728,경기도 광명시 덕단이로9번길 42,14279,37.4682098402,126.8532621174
CU,소매,종합소매점,편의점,체인화 편의점,,경기도 광명시 광명동 158-789,경기도 광명시 광명로 899,14286,37.4792389512,126.8539863041
CU,소매,종합소매점,편의점,체인화 편의점,,경기도 광명시 하안동 36-5,경기도 광명시 하안로 295,14305,37.4619065194,126.8798707613
CU,소매,종합소매점,편의점,체인화 편의점,야우리빌딩,경기도 광명시 철산동 272,경기도 광명시 철산로 20,14237,37.4757062555,126.868350828
